# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
cool,304,490,304,0,0,1,ok,2775230,2781,replay=match
escal,304,422,304,0,0,1,ok,3176764,1558,replay=match
stallcool,304,535,304,0,0,1,ok,3074076,1500,replay=match
queue2spread,304,419,304,0,0,1,ok,1333773,183,replay=match
canonical,320,3929,320,0,0,1,ok,955997,0,replay=single
cool,320,514,320,0,0,1,ok,3021773,3002,replay=match
escal,320,414,320,0,0,1,ok,3072455,1545,replay=match
stallcool,320,558,320,0,0,1,ok,3449629,1629,replay=match
queue2spread,320,505,320,0,0,1,ok,1386763,103,replay=match
canonical,336,4153,336,0,0,1,ok,1036773,0,replay=single
cool,336,461,336,0,0,1,ok,2874314,2774,replay=match
escal,336,433,336,0,0,1,ok,3429128,1665,replay=match
stallcool,336,468,336,0,0,1,ok,3878890,1799,replay=match
queue2spread,336,432,336,0,0,1,ok,1501450,207,replay=match
canonical,352,4486,352,0,0,1,ok,1136452,0,replay=single
cool,352,397,352,0,0,1,ok,3156325,2897,replay=match
escal,352,570,352,0,0,1,ok,3826692,1941,replay=match
stallcool,352,469,352,0,0,1,ok,4070516,1920,replay=match
queue2spread,352,460,352,0,0,1,ok,1652138,207,replay=match
canonical,368,4779,368,0,0,1,ok,1236804,0,replay=single
cool,368,508,368,0,0,1,ok,3599154,3170,replay=match
escal,368,557,368,0,0,1,ok,4112352,1977,replay=match
stallcool,368,634,368,0,0,1,ok,4833949,2221,replay=match
queue2spread,368,546,368,0,0,1,ok,1819565,240,replay=match
canonical,384,5000,370,0,0,0,ok,1337095,0,replay=single
cool,384,538,384,0,0,1,ok,3800931,3094,replay=match
escal,384,594,384,0,0,1,ok,4657404,2142,replay=match
stallcool,384,641,384,0,0,1,ok,5546083,2288,replay=match
queue2spread,384,557,384,0,0,1,ok,1989364,257,replay=match
canonical,400,5000,386,0,0,0,ok,1338855,0,replay=single
cool,400,542,400,0,0,1,ok,3840277,3167,replay=match
escal,400,594,400,0,0,1,ok,4658780,2142,replay=match
stallcool,400,641,400,0,0,1,ok,5547843,2288,replay=match
queue2spread,400,557,400,0,0,1,ok,1991983,273,replay=match
canonical,416,5000,407,0,0,0,ok,1341574,0,replay=single
cool,416,462,416,0,0,1,ok,3534167,3016,replay=match
escal,416,598,416,0,0,1,ok,4550051,2193,replay=match
stallcool,416,637,416,0,0,1,ok,4986847,2197,replay=match
queue2spread,416,494,416,0,0,1,ok,2005765,284,replay=match
canonical,432,5000,411,0,0,0,ok,1356630,0,replay=single
cool,432,547,432,0,0,1,ok,3616185,3018,replay=match
escal,432,603,432,0,0,1,ok,4432245,2295,replay=match
stallcool,432,516,432,0,0,1,ok,5216655,2278,replay=match
queue2spread,432,522,432,0,0,1,ok,2694858,276,replay=match
canonical,448,5000,405,0,0,0,ok,1404218,0,replay=single
cool,448,543,448,0,0,1,ok,3975200,3361,replay=match
escal,448,588,448,0,0,1,ok,4492146,2170,replay=match
stallcool,448,648,448,0,0,1,ok,5335642,2372,replay=match
queue2spread,448,530,448,0,0,1,ok,2764864,285,replay=match
canonical,464,5000,403,0,0,0,ok,1485153,0,replay=single
cool,464,546,464,0,0,1,ok,4084795,3250,replay=match
escal,464,614,464,0,0,1,ok,4432441,2560,replay=match
stallcool,464,678,464,0,0,1,ok,5765491,2495,replay=match
queue2spread,464,550,464,0,0,1,ok,2896366,198,replay=match
canonical,480,5000,401,0,0,0,ok,1584079,0,replay=single
cool,480,548,480,0,0,1,ok,4450686,3336,replay=match
escal,480,628,480,0,0,1,ok,4998400,2529,replay=match
stallcool,480,674,480,0,0,1,ok,5904857,2722,replay=match
queue2spread,480,562,480,0,0,1,ok,3107627,187,replay=match
canonical,496,5000,398,0,0,0,ok,1683297,0,replay=single
cool,496,428,496,0,0,1,ok,4361172,3076,replay=match
escal,496,610,496,0,0,1,ok,5104840,2721,replay=match
stallcool,496,694,496,0,0,1,ok,6426657,2947,replay=match
queue2spread,496,595,496,0,0,1,ok,3338242,215,replay=match
canonical,512,5000,395,0,0,0,ok,1782851,0,replay=single
cool,512,584,512,0,0,1,ok,4989011,3481,replay=match
escal,512,630,512,0,0,1,ok,5363725,3057,replay=match
stallcool,512,718,512,0,0,1,ok,7158099,3028,replay=match
queue2spread,512,729,512,0,0,1,ok,3556744,167,replay=match
canonical,528,5000,411,0,0,0,ok,1784611,0,replay=single
cool,528,571,528,0,0,1,ok,5033515,3406,replay=match
escal,528,630,528,0,0,1,ok,5364915,3057,replay=match
stallcool,528,718,528,0,0,1,ok,7159859,3028,replay=match
queue2spread,528,716,528,0,0,1,ok,3549630,136,replay=match
canonical,544,5000,428,0,0,0,ok,1786904,0,replay=single
cool,544,548,544,0,0,1,ok,4973445,3535,replay=match
escal,544,639,544,0,0,1,ok,5907750,2783,replay=match
stallcool,544,673,544,0,0,1,ok,6656338,2918,replay=match
queue2spread,544,674,544,0,0,1,ok,3623070,298,replay=match
canonical,560,5000,424,0,0,0,ok,1802259,0,replay=single
cool,560,475,560,0,0,1,ok,4773921,3371,replay=match
escal,560,635,560,0,0,1,ok,5532532,2903,replay=match
stallcool,560,686,560,0,0,1,ok,6743153,3019,replay=match
queue2spread,560,706,560,0,0,1,ok,3683825,371,replay=match
canonical,576,5000,429,0,0,0,ok,1851620,0,replay=single
cool,576,595,576,0,0,1,ok,5088825,3822,replay=match
escal,576,652,576,0,0,1,ok,5636392,2815,replay=match
stallcool,576,719,576,0,0,1,ok,6926054,3183,replay=match
queue2spread,576,724,576,0,0,1,ok,3739780,314,replay=match
canonical,592,5000,425,0,0,0,ok,1933032,0,replay=single
cool,592,600,592,0,0,1,ok,5189885,3503,replay=match
escal,592,651,592,0,0,1,ok,6172196,2963,replay=match
stallcool,592,721,592,0,0,1,ok,6943152,3226,replay=match
queue2spread,592,617,592,0,0,1,ok,3929036,409,replay=match
canonical,608,5000,424,0,0,0,ok,2032451,0,replay=single
cool,608,611,608,0,0,1,ok,5519259,3701,replay=match
escal,608,657,608,0,0,1,ok,6290459,2988,replay=match
stallcool,608,734,608,0,0,1,ok,6811707,3163,replay=match
queue2spread,608,669,608,0,0,1,ok,4119955,458,replay=match
canonical,624,5000,420,0,0,0,ok,2132096,0,replay=single
cool,624,645,624,0,0,1,ok,6164700,4082,replay=match
escal,624,698,624,0,0,1,ok,7067770,3614,replay=match
stallcool,624,757,624,0,0,1,ok,7821253,3470,replay=match
queue2spread,624,745,624,0,0,1,ok,4341752,474,replay=match
canonical,640,5000,412,0,0,0,ok,2231701,0,replay=single
cool,640,610,640,0,0,1,ok,5727320,3732,replay=match
escal,640,827,640,0,0,1,ok,7852672,3723,replay=match
stallcool,640,797,640,0,0,1,ok,8087255,3524,replay=match
queue2spread,640,853,640,0,0,1,ok,4301229,300,replay=match
canonical,656,5000,429,0,0,0,ok,2233699,0,replay=single
cool,656,632,656,0,0,1,ok,6176343,3977,replay=match
escal,656,716,656,0,0,1,ok,7493301,3616,replay=match
stallcool,656,794,656,0,0,1,ok,9029156,4030,replay=match
queue2spread,656,838,656,0,0,1,ok,4423213,462,replay=match
canonical,672,5000,458,0,0,0,ok,2236194,0,replay=single
cool,672,666,672,0,0,1,ok,6343338,4250,replay=match
escal,672,742,672,0,0,1,ok,7768128,3474,replay=match
stallcool,672,725,672,0,0,1,ok,8720407,3790,replay=match
queue2spread,672,830,672,0,0,1,ok,4309704,310,replay=match
canonical,688,5000,456,0,0,0,ok,2252231,0,replay=single
cool,688,666,688,0,0,1,ok,6539979,4445,replay=match
