# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,304,175,304,0,0,1,ok,162881,55,replay=match
queue2spread,304,211,304,0,0,1,ok,163010,10,replay=match
canonical,320,277,320,0,0,1,ok,170582,0,replay=single
cool,320,178,320,0,0,1,ok,331546,1290,replay=match
escal,320,175,320,0,0,1,ok,220818,243,replay=match
stallcool,320,175,320,0,0,1,ok,167537,56,replay=match
queue2spread,320,175,320,0,0,1,ok,167478,32,replay=match
canonical,336,277,336,0,0,1,ok,183420,0,replay=single
cool,336,189,336,0,0,1,ok,350256,1322,replay=match
escal,336,177,336,0,0,1,ok,244107,276,replay=match
stallcool,336,175,336,0,0,1,ok,179835,59,replay=match
queue2spread,336,212,336,0,0,1,ok,179840,32,replay=match
canonical,352,277,352,0,0,1,ok,188282,0,replay=single
cool,352,189,352,0,0,1,ok,354787,1331,replay=match
escal,352,177,352,0,0,1,ok,249022,281,replay=match
stallcool,352,175,352,0,0,1,ok,184563,62,replay=match
queue2spread,352,212,352,0,0,1,ok,184555,35,replay=match
canonical,368,300,368,0,0,1,ok,201895,0,replay=single
cool,368,189,368,0,0,1,ok,367795,1346,replay=match
escal,368,178,368,0,0,1,ok,273382,311,replay=match
stallcool,368,178,368,0,0,1,ok,197590,66,replay=match
queue2spread,368,212,368,0,0,1,ok,197632,43,replay=match
canonical,384,300,384,0,0,1,ok,205891,0,replay=single
cool,384,191,384,0,0,1,ok,370471,1370,replay=match
escal,384,179,384,0,0,1,ok,277281,313,replay=match
stallcool,384,179,384,0,0,1,ok,201416,66,replay=match
queue2spread,384,212,384,0,0,1,ok,201647,34,replay=match
canonical,400,300,400,0,0,1,ok,218204,0,replay=single
cool,400,199,400,0,0,1,ok,394161,1410,replay=match
escal,400,190,400,0,0,1,ok,292780,348,replay=match
stallcool,400,190,400,0,0,1,ok,213044,66,replay=match
queue2spread,400,190,400,0,0,1,ok,213377,45,replay=match
canonical,416,300,416,0,0,1,ok,223178,0,replay=single
cool,416,199,416,0,0,1,ok,420800,1424,replay=match
escal,416,191,416,0,0,1,ok,297843,354,replay=match
stallcool,416,191,416,0,0,1,ok,217772,66,replay=match
queue2spread,416,191,416,0,0,1,ok,218211,45,replay=match
canonical,432,330,432,0,0,1,ok,237205,0,replay=single
cool,432,199,432,0,0,1,ok,446287,1380,replay=match
escal,432,192,432,0,0,1,ok,314986,376,replay=match
stallcool,432,196,432,0,0,1,ok,231045,72,replay=match
queue2spread,432,234,432,0,0,1,ok,231690,45,replay=match
canonical,448,330,448,0,0,1,ok,242179,0,replay=single
cool,448,202,448,0,0,1,ok,457510,1425,replay=match
escal,448,192,448,0,0,1,ok,318996,393,replay=match
stallcool,448,196,448,0,0,1,ok,235790,72,replay=match
queue2spread,448,234,448,0,0,1,ok,236001,54,replay=match
canonical,464,330,464,0,0,1,ok,255561,0,replay=single
cool,464,198,464,0,0,1,ok,477007,1431,replay=match
escal,464,196,464,0,0,1,ok,338651,442,replay=match
stallcool,464,200,464,0,0,1,ok,248451,82,replay=match
queue2spread,464,234,464,0,0,1,ok,248855,58,replay=match
canonical,480,330,480,0,0,1,ok,260535,0,replay=single
cool,480,200,480,0,0,1,ok,491439,1440,replay=match
escal,480,196,480,0,0,1,ok,337639,468,replay=match
stallcool,480,200,480,0,0,1,ok,253175,82,replay=match
queue2spread,480,234,480,0,0,1,ok,253643,58,replay=match
canonical,496,344,496,0,0,1,ok,274562,0,replay=single
cool,496,202,496,0,0,1,ok,522558,1466,replay=match
escal,496,200,496,0,0,1,ok,349863,505,replay=match
stallcool,496,204,496,0,0,1,ok,266452,88,replay=match
queue2spread,496,256,496,0,0,1,ok,266954,58,replay=match
canonical,512,344,512,0,0,1,ok,278638,0,replay=single
cool,512,207,512,0,0,1,ok,531661,1484,replay=match
escal,512,200,512,0,0,1,ok,348877,538,replay=match
stallcool,512,204,512,0,0,1,ok,270353,88,replay=match
queue2spread,512,256,512,0,0,1,ok,270918,58,replay=match
canonical,528,344,528,0,0,1,ok,291239,0,replay=single
cool,528,216,528,0,0,1,ok,558291,1514,replay=match
escal,528,206,528,0,0,1,ok,372293,611,replay=match
stallcool,528,206,528,0,0,1,ok,282202,88,replay=match
queue2spread,528,256,528,0,0,1,ok,282786,58,replay=match
canonical,544,344,544,0,0,1,ok,296325,0,replay=single
cool,544,219,544,0,0,1,ok,573465,1509,replay=match
escal,544,207,544,0,0,1,ok,370307,586,replay=match
stallcool,544,207,544,0,0,1,ok,287135,91,replay=match
queue2spread,544,256,544,0,0,1,ok,287745,64,replay=match
canonical,560,377,560,0,0,1,ok,310742,0,replay=single
cool,560,217,560,0,0,1,ok,600586,1518,replay=match
escal,560,207,560,0,0,1,ok,382956,587,replay=match
stallcool,560,207,560,0,0,1,ok,300868,98,replay=match
queue2spread,560,256,560,0,0,1,ok,301487,68,replay=match
canonical,576,377,576,0,0,1,ok,315828,0,replay=single
cool,576,212,576,0,0,1,ok,615025,1516,replay=match
escal,576,207,576,0,0,1,ok,386797,592,replay=match
stallcool,576,207,576,0,0,1,ok,305809,101,replay=match
queue2spread,576,256,576,0,0,1,ok,306593,69,replay=match
canonical,592,377,592,0,0,1,ok,329670,0,replay=single
