# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,304,328,304,0,0,1,ok,526079,647,replay=match
queue2spread,304,228,304,0,0,1,ok,476100,27,replay=match
canonical,320,1572,320,0,0,1,ok,446167,0,replay=single
cool,320,256,320,0,0,1,ok,793784,1645,replay=match
escal,320,246,320,0,0,1,ok,696381,1055,replay=match
stallcool,320,345,320,0,0,1,ok,615106,789,replay=match
queue2spread,320,242,320,0,0,1,ok,533962,27,replay=match
canonical,336,1621,336,0,0,1,ok,493418,0,replay=single
cool,336,266,336,0,0,1,ok,871421,1731,replay=match
escal,336,266,336,0,0,1,ok,779192,1070,replay=match
stallcool,336,347,336,0,0,1,ok,681126,785,replay=match
queue2spread,336,240,336,0,0,1,ok,592970,27,replay=match
canonical,352,1621,352,0,0,1,ok,509051,0,replay=single
cool,352,243,352,0,0,1,ok,856928,1716,replay=match
escal,352,256,352,0,0,1,ok,802044,1074,replay=match
stallcool,352,344,352,0,0,1,ok,717626,835,replay=match
queue2spread,352,242,352,0,0,1,ok,610329,27,replay=match
canonical,368,1612,368,0,0,1,ok,513913,0,replay=single
cool,368,249,368,0,0,1,ok,872520,1745,replay=match
escal,368,334,368,0,0,1,ok,810914,1128,replay=match
stallcool,368,343,368,0,0,1,ok,728013,896,replay=match
queue2spread,368,346,368,0,0,1,ok,614283,120,replay=match
canonical,384,1626,384,0,0,1,ok,537150,0,replay=single
cool,384,240,384,0,0,1,ok,906075,1720,replay=match
escal,384,333,384,0,0,1,ok,829193,1247,replay=match
stallcool,384,344,384,0,0,1,ok,746620,883,replay=match
queue2spread,384,342,384,0,0,1,ok,632732,173,replay=match
canonical,400,1626,400,0,0,1,ok,560692,0,replay=single
cool,400,248,400,0,0,1,ok,930633,1757,replay=match
escal,400,322,400,0,0,1,ok,840839,1145,replay=match
stallcool,400,258,400,0,0,1,ok,765847,885,replay=match
queue2spread,400,342,400,0,0,1,ok,659481,173,replay=match
canonical,416,1595,416,0,0,1,ok,565710,0,replay=single
cool,416,250,416,0,0,1,ok,965851,1782,replay=match
escal,416,296,416,0,0,1,ok,827344,1198,replay=match
stallcool,416,360,416,0,0,1,ok,772125,919,replay=match
queue2spread,416,341,416,0,0,1,ok,662260,152,replay=match
canonical,432,1833,432,0,0,1,ok,581935,0,replay=single
cool,432,318,432,0,0,1,ok,1042808,1805,replay=match
escal,432,355,432,0,0,1,ok,853787,1362,replay=match
stallcool,432,321,432,0,0,1,ok,788164,1013,replay=match
queue2spread,432,341,432,0,0,1,ok,681498,162,replay=match
canonical,448,2110,448,0,0,1,ok,631055,0,replay=single
cool,448,359,448,0,0,1,ok,1118002,1860,replay=match
escal,448,369,448,0,0,1,ok,963738,1461,replay=match
stallcool,448,337,448,0,0,1,ok,884000,1061,replay=match
queue2spread,448,341,448,0,0,1,ok,739942,162,replay=match
canonical,464,2156,464,0,0,1,ok,679102,0,replay=single
cool,464,294,464,0,0,1,ok,1172545,2008,replay=match
escal,464,368,464,0,0,1,ok,987501,1355,replay=match
stallcool,464,338,464,0,0,1,ok,968396,1043,replay=match
queue2spread,464,341,464,0,0,1,ok,799949,157,replay=match
canonical,480,2151,480,0,0,1,ok,695174,0,replay=single
cool,480,356,480,0,0,1,ok,1200236,2046,replay=match
escal,480,366,480,0,0,1,ok,1036415,1534,replay=match
stallcool,480,358,480,0,0,1,ok,1031530,1217,replay=match
queue2spread,480,551,480,0,0,1,ok,803529,126,replay=match
canonical,496,2159,496,0,0,1,ok,700148,0,replay=single
cool,496,332,496,0,0,1,ok,1160463,1904,replay=match
escal,496,358,496,0,0,1,ok,1025766,1590,replay=match
stallcool,496,366,496,0,0,1,ok,1016438,1279,replay=match
queue2spread,496,433,496,0,0,1,ok,820079,246,replay=match
canonical,512,2188,512,0,0,1,ok,723854,0,replay=single
cool,512,287,512,0,0,1,ok,1188076,1856,replay=match
escal,512,370,512,0,0,1,ok,1054459,1520,replay=match
stallcool,512,378,512,0,0,1,ok,1026653,1260,replay=match
queue2spread,512,394,512,0,0,1,ok,840113,267,replay=match
canonical,528,2171,528,0,0,1,ok,747784,0,replay=single
cool,528,265,528,0,0,1,ok,1204097,1846,replay=match
escal,528,463,528,0,0,1,ok,1066386,1617,replay=match
stallcool,528,375,528,0,0,1,ok,1059203,1272,replay=match
queue2spread,528,433,528,0,0,1,ok,863779,249,replay=match
canonical,544,2124,544,0,0,1,ok,752940,0,replay=single
cool,544,380,544,0,0,1,ok,1283504,2096,replay=match
escal,544,386,544,0,0,1,ok,1069571,1609,replay=match
stallcool,544,320,544,0,0,1,ok,1031570,1258,replay=match
queue2spread,544,488,544,0,0,1,ok,875907,263,replay=match
canonical,560,2413,560,0,0,1,ok,769560,0,replay=single
cool,560,355,560,0,0,1,ok,1307165,2040,replay=match
escal,560,392,560,0,0,1,ok,1066794,1769,replay=match
