# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,304,256,304,0,0,1,ok,933855,777,replay=match
queue2spread,304,276,304,0,0,1,ok,737758,0,replay=match
canonical,320,1093,320,0,0,1,ok,596671,0,replay=single
cool,320,268,320,0,0,1,ok,1181175,1690,replay=match
escal,320,273,320,0,0,1,ok,1182627,1135,replay=match
stallcool,320,276,320,0,0,1,ok,1047053,845,replay=match
queue2spread,320,276,320,0,0,1,ok,819073,0,replay=match
canonical,336,1093,336,0,0,1,ok,635617,0,replay=single
cool,336,271,336,0,0,1,ok,1281769,1836,replay=match
escal,336,257,336,0,0,1,ok,1267461,1187,replay=match
stallcool,336,258,336,0,0,1,ok,1149099,948,replay=match
queue2spread,336,276,336,0,0,1,ok,857720,0,replay=match
canonical,352,1094,352,0,0,1,ok,678360,0,replay=single
cool,352,295,352,0,0,1,ok,1363871,1925,replay=match
escal,352,278,352,0,0,1,ok,1320869,1279,replay=match
stallcool,352,262,352,0,0,1,ok,1205167,967,replay=match
queue2spread,352,276,352,0,0,1,ok,910602,0,replay=match
canonical,368,1092,368,0,0,1,ok,719519,0,replay=single
cool,368,264,368,0,0,1,ok,1360299,1829,replay=match
escal,368,273,368,0,0,1,ok,1352799,1285,replay=match
stallcool,368,267,368,0,0,1,ok,1236582,1037,replay=match
queue2spread,368,276,368,0,0,1,ok,967773,0,replay=match
canonical,384,1092,384,0,0,1,ok,738036,0,replay=single
cool,384,275,384,0,0,1,ok,1408511,1902,replay=match
escal,384,274,384,0,0,1,ok,1327951,1265,replay=match
stallcool,384,267,384,0,0,1,ok,1255081,1038,replay=match
queue2spread,384,276,384,0,0,1,ok,991665,0,replay=match
canonical,400,1092,400,0,0,1,ok,740335,0,replay=single
cool,400,285,400,0,0,1,ok,1382448,1926,replay=match
escal,400,261,400,0,0,1,ok,1311372,1214,replay=match
stallcool,400,267,400,0,0,1,ok,1257391,1040,replay=match
queue2spread,400,276,400,0,0,1,ok,994940,0,replay=match
canonical,416,1101,416,0,0,1,ok,749989,0,replay=single
cool,416,320,416,0,0,1,ok,1371042,1910,replay=match
escal,416,287,416,0,0,1,ok,1306483,1236,replay=match
stallcool,416,266,416,0,0,1,ok,1287132,1065,replay=match
queue2spread,416,276,416,0,0,1,ok,1008048,0,replay=match
canonical,432,1320,432,0,0,1,ok,790863,0,replay=single
cool,432,285,432,0,0,1,ok,1472850,1943,replay=match
escal,432,271,432,0,0,1,ok,1362227,1305,replay=match
stallcool,432,276,432,0,0,1,ok,1350216,1152,replay=match
queue2spread,432,302,432,0,0,1,ok,1066853,0,replay=match
canonical,448,1402,448,0,0,1,ok,849141,0,replay=single
cool,448,343,448,0,0,1,ok,1618189,2094,replay=match
escal,448,320,448,0,0,1,ok,1473208,1411,replay=match
stallcool,448,305,448,0,0,1,ok,1539717,1296,replay=match
queue2spread,448,323,448,0,0,1,ok,1122154,0,replay=match
canonical,464,1401,464,0,0,1,ok,888603,0,replay=single
