# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
queue2spread,304,146,304,0,0,1,ok,33440,0,replay=match
canonical,320,148,320,0,0,1,ok,35200,0,replay=single
cool,320,160,320,0,0,1,ok,133316,978,replay=match
escal,320,148,320,0,0,1,ok,35394,2,replay=match
stallcool,320,148,320,0,0,1,ok,35213,0,replay=match
queue2spread,320,148,320,0,0,1,ok,35200,0,replay=match
canonical,336,150,336,0,0,1,ok,36960,0,replay=single
cool,336,174,336,0,0,1,ok,142158,1059,replay=match
escal,336,152,336,0,0,1,ok,37401,4,replay=match
stallcool,336,152,336,0,0,1,ok,37005,0,replay=match
queue2spread,336,150,336,0,0,1,ok,36960,0,replay=match
canonical,352,152,352,0,0,1,ok,38720,0,replay=single
cool,352,174,352,0,0,1,ok,152432,1096,replay=match
escal,352,155,352,0,0,1,ok,39157,5,replay=match
stallcool,352,152,352,0,0,1,ok,38765,0,replay=match
queue2spread,352,152,352,0,0,1,ok,38720,0,replay=match
canonical,368,154,368,0,0,1,ok,40480,0,replay=single
cool,368,171,368,0,0,1,ok,158660,1136,replay=match
escal,368,155,368,0,0,1,ok,40909,5,replay=match
stallcool,368,154,368,0,0,1,ok,40525,0,replay=match
queue2spread,368,154,368,0,0,1,ok,40480,0,replay=match
canonical,384,156,384,0,0,1,ok,42240,0,replay=single
cool,384,173,384,0,0,1,ok,154915,1174,replay=match
escal,384,156,384,0,0,1,ok,42661,5,replay=match
stallcool,384,156,384,0,0,1,ok,42285,0,replay=match
queue2spread,384,156,384,0,0,1,ok,42240,0,replay=match
canonical,400,158,400,0,0,1,ok,44000,0,replay=single
cool,400,168,400,0,0,1,ok,171890,1215,replay=match
escal,400,158,400,0,0,1,ok,44413,5,replay=match
stallcool,400,158,400,0,0,1,ok,44045,0,replay=match
queue2spread,400,158,400,0,0,1,ok,44000,0,replay=match
canonical,416,160,416,0,0,1,ok,45760,0,replay=single
cool,416,186,416,0,0,1,ok,190404,1263,replay=match
escal,416,160,416,0,0,1,ok,46165,5,replay=match
stallcool,416,160,416,0,0,1,ok,45805,0,replay=match
queue2spread,416,160,416,0,0,1,ok,45760,0,replay=match
canonical,432,162,432,0,0,1,ok,47520,0,replay=single
cool,432,179,432,0,0,1,ok,208039,919,replay=match
escal,432,162,432,0,0,1,ok,47917,5,replay=match
stallcool,432,162,432,0,0,1,ok,47565,0,replay=match
queue2spread,432,162,432,0,0,1,ok,47520,0,replay=match
canonical,448,164,448,0,0,1,ok,49280,0,replay=single
cool,448,183,448,0,0,1,ok,222984,965,replay=match
escal,448,164,448,0,0,1,ok,49681,6,replay=match
stallcool,448,164,448,0,0,1,ok,49317,0,replay=match
queue2spread,448,164,448,0,0,1,ok,49280,0,replay=match
canonical,464,166,464,0,0,1,ok,51040,0,replay=single
cool,464,187,464,0,0,1,ok,232419,1025,replay=match
