# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
cool,304,499,304,0,0,1,ok,7614382,3134,replay=match
escal,304,555,304,0,0,1,ok,6658992,1998,replay=match
stallcool,304,562,304,0,0,1,ok,7094618,1571,replay=match
queue2spread,304,455,304,0,0,1,ok,1992728,0,replay=match
canonical,320,471,320,0,0,1,ok,2137305,0,replay=single
cool,320,553,320,0,0,1,ok,7618029,3321,replay=match
escal,320,725,320,0,0,1,ok,6519594,2113,replay=match
stallcool,320,597,320,0,0,1,ok,7506244,1683,replay=match
queue2spread,320,471,320,0,0,1,ok,2128462,0,replay=match
canonical,336,487,336,0,0,1,ok,2220322,0,replay=single
cool,336,566,336,0,0,1,ok,7551217,3170,replay=match
escal,336,603,336,0,0,1,ok,6416019,2192,replay=match
stallcool,336,609,336,0,0,1,ok,7047314,2110,replay=match
queue2spread,336,487,336,0,0,1,ok,2209104,0,replay=match
canonical,352,503,352,0,0,1,ok,2246755,0,replay=single
cool,352,521,352,0,0,1,ok,7724037,3219,replay=match
escal,352,577,352,0,0,1,ok,6331272,2352,replay=match
stallcool,352,642,352,0,0,1,ok,6847749,2267,replay=match
queue2spread,352,503,352,0,0,1,ok,2233959,0,replay=match
canonical,368,504,368,0,0,1,ok,2248518,0,replay=single
cool,368,547,368,0,0,1,ok,7453451,3244,replay=match
escal,368,480,368,0,0,1,ok,6193031,2510,replay=match
stallcool,368,650,368,0,0,1,ok,7503660,2222,replay=match
queue2spread,368,504,368,0,0,1,ok,2235719,0,replay=match
canonical,384,504,384,0,0,1,ok,2250278,0,replay=single
cool,384,557,384,0,0,1,ok,7137687,3393,replay=match
escal,384,480,384,0,0,1,ok,6194315,2510,replay=match
stallcool,384,650,384,0,0,1,ok,7505420,2222,replay=match
queue2spread,384,504,384,0,0,1,ok,2237479,0,replay=match
canonical,400,519,400,0,0,1,ok,2418430,0,replay=single
cool,400,596,400,0,0,1,ok,8348455,3721,replay=match
escal,400,610,400,0,0,1,ok,7435187,2493,replay=match
stallcool,400,759,400,0,0,1,ok,7427829,2327,replay=match
queue2spread,400,519,400,0,0,1,ok,2404656,0,replay=match
canonical,416,535,416,0,0,1,ok,2586326,0,replay=single
cool,416,572,416,0,0,1,ok,8341106,3587,replay=match
escal,416,749,416,0,0,1,ok,7367675,2649,replay=match
stallcool,416,541,416,0,0,1,ok,7864245,2408,replay=match
queue2spread,416,535,416,0,0,1,ok,2571549,0,replay=match
canonical,432,551,432,0,0,1,ok,2753871,0,replay=single
cool,432,562,432,0,0,1,ok,8815947,3374,replay=match
escal,432,588,432,0,0,1,ok,8026576,2592,replay=match
stallcool,432,663,432,0,0,1,ok,8410770,2528,replay=match
queue2spread,432,551,432,0,0,1,ok,2737641,0,replay=match
canonical,448,567,448,0,0,1,ok,2892487,0,replay=single
cool,448,567,448,0,0,1,ok,9360782,3721,replay=match
escal,448,603,448,0,0,1,ok,8147486,2630,replay=match
stallcool,448,689,448,0,0,1,ok,8844052,2719,replay=match
queue2spread,448,567,448,0,0,1,ok,2873519,0,replay=match
canonical,464,581,464,0,0,1,ok,2975945,0,replay=single
cool,464,618,464,0,0,1,ok,10060821,3994,replay=match
escal,464,627,464,0,0,1,ok,8118650,2826,replay=match
stallcool,464,649,464,0,0,1,ok,8855353,2752,replay=match
queue2spread,464,581,464,0,0,1,ok,2953275,0,replay=match
canonical,480,597,480,0,0,1,ok,3002817,0,replay=single
cool,480,614,480,0,0,1,ok,9363336,3906,replay=match
escal,480,637,480,0,0,1,ok,8072199,2833,replay=match
stallcool,480,757,480,0,0,1,ok,9292917,2833,replay=match
queue2spread,480,597,480,0,0,1,ok,2978322,0,replay=match
