Running tess_bench
Run on (8 X 3102.33 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 4096 KiB (x1)
Load Average: 0.16, 0.10, 0.04
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations UserCounters...
path/astar_batch_100_suffix_open_512x512_stddev                              89.3 ns         99.9 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0
path/astar_batch_100_suffix_open_512x512_cv                                  0.03 %          0.04 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00%
path/cached_astar_batch_100_suffix_open_512x512_mean                        24668 ns        24595 ns           10 agents=100 batch.avg_expanded_nodes=5.12 batch.cost_total=46.15k batch.expanded_total=512 batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=4 batch.unique_starts=100 cache.entries=1 cache.hits=0 cache.misses=1 cache.path_nodes=512 cache.suffix_hits=99
path/cached_astar_batch_100_suffix_open_512x512_median                      24664 ns        24588 ns           10 agents=100 batch.avg_expanded_nodes=5.12 batch.cost_total=46.15k batch.expanded_total=512 batch.unique_goal_chunks=1 batch.unique_goals=1 batch.unique_start_chunks=4 batch.unique_starts=100 cache.entries=1 cache.hits=0 cache.misses=1 cache.path_nodes=512 cache.suffix_hits=99
path/cached_astar_batch_100_suffix_open_512x512_stddev                       42.1 ns         42.1 ns           10 agents=0 batch.avg_expanded_nodes=88.8534n batch.cost_total=0 batch.expanded_total=0 batch.unique_goal_chunks=0 batch.unique_goals=0 batch.unique_start_chunks=0 batch.unique_starts=0 cache.entries=0 cache.hits=0 cache.misses=0 cache.path_nodes=0 cache.suffix_hits=0
path/cached_astar_batch_100_suffix_open_512x512_cv                           0.17 %          0.17 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goal_chunks=0.00% batch.unique_goals=0.00% batch.unique_start_chunks=0.00% batch.unique_starts=0.00% cache.entries=0.00% cache.hits=0.00% cache.misses=0.00% cache.path_nodes=0.00% cache.suffix_hits=0.00%
path/weighted_astar_batch_100_multigoal_sparse_512x512_mean             904720996 ns    901067627 ns           10 agents=100 batch.avg_expanded_nodes=46.7628k batch.cost_total=96.02k batch.expanded_total=4.67628M batch.unique_goals=8
path/weighted_astar_batch_100_multigoal_sparse_512x512_median           904070364 ns    900423860 ns           10 agents=100 batch.avg_expanded_nodes=46.7628k batch.cost_total=96.02k batch.expanded_total=4.67628M batch.unique_goals=8
path/weighted_astar_batch_100_multigoal_sparse_512x512_stddev             1916527 ns      1847939 ns           10 agents=0 batch.avg_expanded_nodes=0 batch.cost_total=0 batch.expanded_total=0 batch.unique_goals=0
path/weighted_astar_batch_100_multigoal_sparse_512x512_cv                    0.21 %          0.21 %            10 agents=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.unique_goals=0.00%
path/weighted_batch_planner_100_multigoal_sparse_512x512_mean            75439151 ns     75121370 ns           10 agents=100 batch.astar_fallbacks=0 batch.avg_expanded_nodes=961.2 batch.cost_total=96.02k batch.expanded_total=96.12k batch.field_builds=8 batch.path_nodes=96.12k batch.unique_goals=8
path/weighted_batch_planner_100_multigoal_sparse_512x512_median          75442963 ns     75123525 ns           10 agents=100 batch.astar_fallbacks=0 batch.avg_expanded_nodes=961.2 batch.cost_total=96.02k batch.expanded_total=96.12k batch.field_builds=8 batch.path_nodes=96.12k batch.unique_goals=8
path/weighted_batch_planner_100_multigoal_sparse_512x512_stddev            432993 ns       428568 ns           10 agents=0 batch.astar_fallbacks=0 batch.avg_expanded_nodes=16.0842u batch.cost_total=0 batch.expanded_total=0 batch.field_builds=0 batch.path_nodes=0 batch.unique_goals=0
path/weighted_batch_planner_100_multigoal_sparse_512x512_cv                  0.57 %          0.57 %            10 agents=0.00% batch.astar_fallbacks=0.00% batch.avg_expanded_nodes=0.00% batch.cost_total=0.00% batch.expanded_total=0.00% batch.field_builds=0.00% batch.path_nodes=0.00% batch.unique_goals=0.00%
